date,mean_temp_c,precipitation_mm,streamflow_cms,precip_lag1,precip_3day,precip_7day,temp_3day_mean,temp_7day_mean,streamflow_lag1,streamflow_lag3,streamflow_7day_mean,month,day_of_year,target_next_day_streamflow
2020-05-17,13.9,14.5,433.0,15.0,29.5,38.000000000000014,12.933333333333332,14.728571428571428,341.0,432.0,459.7142857142857,5,138,429.0
2020-05-18,14.3,0.0,429.0,14.5,29.5,38.000000000000014,12.833333333333334,13.757142857142858,433.0,379.0,451.7142857142857,5,139,409.0
2020-05-19,14.1,0.0,409.0,0.0,14.5,37.100000000000016,14.100000000000001,13.6,429.0,341.0,432.2857142857143,5,140,455.0
2020-05-20,14.6,0.0,455.0,0.0,0.0,29.700000000000014,14.333333333333334,13.614285714285716,409.0,433.0,414.2857142857143,5,141,460.0
2020-05-21,12.6,1.1,460.0,0.0,1.1,30.600000000000016,13.766666666666666,13.485714285714286,455.0,429.0,411.14285714285717,5,142,384.0
2020-05-22,12.5,0.0,384.0,1.1,1.1,30.600000000000016,13.233333333333333,13.185714285714285,460.0,409.0,415.14285714285717,5,143,340.0
2020-05-23,12.3,0.0,340.0,0.0,1.1,15.600000000000014,12.466666666666667,13.471428571428572,384.0,455.0,415.85714285714283,5,144,344.0
2020-05-24,14.5,0.6,344.0,0.0,0.6,1.7000000000000144,13.1,13.557142857142859,340.0,460.0,415.7142857142857,5,145,425.0
2020-05-25,13.7,12.2,425.0,0.6,12.799999999999999,13.900000000000013,13.5,13.471428571428572,344.0,384.0,403.0,5,146,494.0
2020-05-26,14.8,0.1,494.0,12.2,12.899999999999999,14.000000000000012,14.333333333333334,13.571428571428571,425.0,340.0,402.42857142857144,5,147,472.0
2020-05-27,14.2,0.0,472.0,0.1,12.299999999999999,14.000000000000012,14.233333333333334,13.514285714285716,494.0,344.0,414.57142857142856,5,148,430.0
2020-05-28,18.7,0.0,430.0,0.0,0.1,12.900000000000013,15.899999999999999,14.385714285714284,472.0,425.0,417.0,5,149,507.0
2020-05-29,17.6,0.1,507.0,0.0,0.1,13.000000000000012,16.833333333333332,15.114285714285714,430.0,494.0,412.7142857142857,5,150,583.0
2020-05-30,15.0,1.5,583.0,0.1,1.6,14.500000000000012,17.099999999999998,15.5,507.0,472.0,430.2857142857143,5,151,560.0
2020-05-31,14.5,0.0,560.0,1.5,1.6,13.900000000000013,15.700000000000001,15.5,583.0,430.0,465.0,5,152,482.0
2020-06-01,13.4,0.0,482.0,0.0,1.5,1.7000000000000142,14.299999999999999,15.457142857142857,560.0,507.0,495.85714285714283,6,153,409.0
2020-06-02,10.1,6.8,409.0,0.0,6.8,8.400000000000015,12.666666666666666,14.785714285714286,482.0,583.0,504.0,6,154,369.0
2020-06-03,12.9,0.0,369.0,6.8,6.8,8.400000000000013,12.133333333333333,14.6,409.0,560.0,491.85714285714283,6,155,309.0
2020-06-04,13.6,0.0,309.0,0.0,6.8,8.400000000000013,12.200000000000001,13.87142857142857,369.0,482.0,477.14285714285717,6,156,280.0
2020-06-05,14.4,0.0,280.0,0.0,0.0,8.300000000000015,13.633333333333333,13.414285714285715,309.0,409.0,459.85714285714283,6,157,324.0
2020-06-06,13.1,1.3,324.0,0.0,1.3,8.100000000000014,13.700000000000001,13.142857142857142,280.0,369.0,427.42857142857144,6,158,312.0
2020-06-07,12.8,0.0,312.0,1.3,1.3,8.100000000000014,13.433333333333332,12.9,324.0,309.0,390.42857142857144,6,159,302.0
2020-06-08,11.4,0.8,302.0,0.0,2.1,8.900000000000015,12.433333333333335,12.614285714285714,312.0,280.0,355.0,6,160,255.0
2020-06-09,10.7,5.6,255.0,0.8,6.3999999999999995,7.700000000000014,11.633333333333333,12.700000000000001,302.0,324.0,329.2857142857143,6,161,237.0
2020-06-10,15.9,0.3,237.0,5.6,6.699999999999999,8.000000000000014,12.666666666666666,13.128571428571428,255.0,312.0,307.2857142857143,6,162,347.0
2020-06-11,14.3,6.6,347.0,0.3,12.5,14.600000000000014,13.633333333333335,13.228571428571428,237.0,302.0,288.42857142857144,6,163,458.0
2020-06-12,13.9,11.0,458.0,6.6,17.9,25.600000000000016,14.700000000000001,13.157142857142857,347.0,255.0,293.85714285714283,6,164,454.0
2020-06-13,13.0,0.5,454.0,11.0,18.1,24.80000000000001,13.733333333333334,13.142857142857142,458.0,237.0,319.2857142857143,6,165,370.0
2020-06-14,13.5,0.9,370.0,0.5,12.400000000000002,25.700000000000014,13.466666666666667,13.242857142857144,454.0,347.0,337.85714285714283,6,166,346.0
2020-06-15,11.8,5.4,346.0,0.9,6.8000000000000025,30.30000000000001,12.766666666666667,13.299999999999999,370.0,458.0,346.14285714285717,6,167,311.0
2020-06-16,15.1,0.0,311.0,5.4,6.3000000000000025,24.700000000000017,13.466666666666669,13.928571428571429,346.0,454.0,352.42857142857144,6,168,343.0
2020-06-17,15.3,0.0,343.0,0.0,5.400000000000002,24.400000000000013,14.066666666666668,13.842857142857143,311.0,370.0,360.42857142857144,6,169,397.0
2020-06-18,16.8,0.0,397.0,0.0,0.0,17.80000000000002,15.733333333333334,14.2,343.0,346.0,375.57142857142856,6,170,451.0
